Year,Dates,Documents,Links,StartDate,EndDate,DummyMeeting,Name,Group,Class,Size,FileType,Comments
1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:April 4-6, 1937 (461 KB PDF)",/monetarypolicy/files/FOMChminec119370406.pdf,04-May-1937,05-May-1937,1,IMECM,Minutes,Meeting Summary,461 KB ,PDF,""
1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:April 19-20, 1937 (284 KB PDF)",/monetarypolicy/files/FOMChminec119370420.pdf,04-May-1937,05-May-1937,1,IMECM,Minutes,Meeting Summary,284 KB ,PDF,""
1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:April 26, 1937 (113 KB PDF)",/monetarypolicy/files/FOMChminec119370426.pdf,04-May-1937,05-May-1937,1,IMECM,Minutes,Meeting Summary,113 KB ,PDF,""
1937,May 4-5 Meeting - 1937,"Intermeeting Executive Committee Minutes:May 3-5, 1937 (185 KB PDF)",/monetarypolicy/files/FOMChminec119370505.pdf,04-May-1937,05-May-1937,1,IMECM,Minutes,Meeting Summary,185 KB ,PDF,""
1937,June 9 Meeting - 1937,"Record of Policy Actions (145 KB PDF)",/monetarypolicy/files/fomcropa19370609.pdf,09-Jun-1937,09-Jun-1937,1,Record of Policy Actions,Minutes,Meeting Summary,145 KB ,PDF,""
1937,June 9 Meeting - 1937,"Historical Minutes (372 KB PDF)",/monetarypolicy/files/FOMChistmin19370609.pdf,09-Jun-1937,09-Jun-1937,1,Historical Minutes,Minutes,Meeting Summary,372 KB ,PDF,""
1937,June 9 Meeting - 1937,"Intermeeting Executive Committee Minutes:June 2, 1937 (105 KB PDF)",/monetarypolicy/files/FOMChminec119370602.pdf,09-Jun-1937,09-Jun-1937,1,IMECM,Minutes,Meeting Summary,105 KB ,PDF,""
1937,June 9 Meeting - 1937,"Intermeeting Executive Committee Minutes:June 9, 1937 (171 KB PDF)",/monetarypolicy/files/FOMChminec119370609.pdf,09-Jun-1937,09-Jun-1937,1,IMECM,Minutes,Meeting Summary,171 KB ,PDF,""
1937,September 11-12 Meeting - 1937,"Record of Policy Actions (282 KB PDF)",/monetarypolicy/files/fomcropa19370912.pdf,11-Sep-1937,12-Sep-1937,1,Record of Policy Actions,Minutes,Meeting Summary,282 KB ,PDF,""
1937,September 11-12 Meeting - 1937,"Historical Minutes (814 KB PDF)",/monetarypolicy/files/FOMChistmin19370912.pdf,11-Sep-1937,12-Sep-1937,1,Historical Minutes,Minutes,Meeting Summary,814 KB ,PDF,""
1937,September 11-12 Meeting - 1937,"Intermeeting Executive Committee Minutes:June 15, 1937 (130 KB PDF)",/monetarypolicy/files/FOMChminec119370615.pdf,11-Sep-1937,12-Sep-1937,1,IMECM,Minutes,Meeting Summary,130 KB ,PDF,""
