,name,full_name,year_of_birth,fed_position,d_regional_fed,regional_fed,d_publicsector,publicsector,time_publicsector,d_privatesector,privatesector,ind_privatesector,time_privatesector,education,degree,universityjob,time_universityjob,policycontribution,source
10,forrestal,Robert P. Forrestal,1931,"President, FRB Atlanta, 1983–1996",YES,Atlanta,YES,"Attorney Federal Reserve Board, General counsel for Atlanta Fed (1970-1983)",1964-1983,YES,Law firm,Legal Practice,1961-1964,Georgetown University,Degree in law,,,Payment system,https://www.federalreservehistory.org/people/robert_p_forrestal?WT.si_n=Search&amp;WT.si_x=3
11,laware,John P. LaWare,1928,"Governor, Board of Governors, 1988–1995",NO,,NO,,,YES,"Chemical Bank & Trust Co., Shawmut Bank and Corporation, Hartford National Corporation",Banking,1953-1988,University of Pennsylvania,Master’s in political science,,,Financial deregulation,https://www.federalreservehistory.org/people/john_p_laware?WT.si_n=Search&amp;WT.si_x=3
12,melzer,Thomas C. Melzer,1944,"President, FRB St. Louis, 1985–1998",YES,St. Louis,NO,,,YES,Morgan Stanley,Banking,1968-1985,Stanford University,Master’s in electrical engineering,,,Inflation control,https://www.federalreservehistory.org/people/thomas_c_melzer?WT.si_n=Search&amp;WT.si_x=3
13,keehn,Silas Keehn,1930,"President, FRB Chicago, 1981–1994",YES,Chicago,NO,,,YES,"Mellon Bank & Pullman, Inc",Banking,1957-1981,Harvard University,MBA,,,,https://www.federalreservehistory.org/people/silas_keehn?WT.si_n=Search&amp;WT.si_x=3
14,syron,Richard F. Syron,1943,"President, FRB Boston, 1989–1994",YES,Boston ,YES,"Research economist Fed Boston, US Treasury, Federal Home Loan Bank ",1974-1989,NO,,,,Tufts University ,PhD in economics,,,,"https://www.nndb.com/people/066/000125688/
https://www.federalreservehistory.org/people/richard_f_syron?WT.si_n=Search&amp;WT.si_x=3"
15,guffey,J. Roger Guffey,1929,"President, FRB Kansas City, 1976–1991",YES,Kansas City,YES,General counsel FRB Kansas City,1968-1976,YES,"Fallon, Guffey and Jenkins",Legal Practice,1958-1968,University of Missouri,Degree in law,,,Inflation control,https://www.federalreservehistory.org/people/j_roger_guffey?WT.si_n=Search&amp;WT.si_x=3
16,stern,Gary H. Stern,1944,"President, FRB Minneapolis, 1985–2009",YES,Minneapolis,YES,Federal Reserve Bank of New ,,YES,New York-based consulting firm,Consulting,,Rice University,PhD in economics,"Columbia University, Washington University and New York University",,Financial institutions,"https://www.nndb.com/people/069/000169559/
https://www.federalreservehistory.org/people/gary_h_stern?WT.si_n=Search&amp;WT.si_x=3"
17,boehne,Edward G. Boehne,1941,"President, FRB Philadelphia, 1981–2000",YES,Philadelphia,YES,Research economist Philadelphia Fed ,1968-1981,NO,,,,Indiana University,PhD in economics,,,Community banking,"https://www.nndb.com/people/955/000172439/
https://www.federalreservehistory.org/people/edward_g_boehne?WT.si_n=Search&amp;WT.si_x=3"
18,boykin,Robert H. Boykin,1926,"President, FRB Dallas, 1981–1991",YES,Dallas,YES,Various positions at FRB Dallas,1953-1981,NO,,,,University of Texas at Austin,Degree in law,,,,https://www.federalreservehistory.org/people/robert_h_boykin?WT.si_n=Search&amp;WT.si_x=3
19,mullins,David W. Mullins Jr,1946,"Vice Chair, Board of Governors, 1991–1994
Governor, Board of Governors, 1990–1991",NO,,YES,US Treasury,1988-1990,NO,,,,Massachusetts Institute of Technology,PhD finance and economics,Harvard Business School,1974-1988,,"https://www.federalreservehistory.org/people/david_w_mullins_jr?WT.si_n=Search&amp;WT.si_x=3
https://www.nndb.com/people/340/000163848/"
20,lindsey,Lawrence B. Lindsey,1976,"Governor, Board of Governors, 1991–1997",NO,,YES,"Council of Economic Advisors, White House advisor","1981-1984, 1989-1991",NO,,,,Harvard University,PhD in economics,Harvard University,1985-1990,,"https://www.federalreservehistory.org/people/lawrence_b_lindsey?WT.si_n=Search&amp;WT.si_x=3
"
21,phillips,Susan M. Phillips,1944,"Governor, Board of Governors, 1991–1998",NO,,YES,Commodity Futures Trading Commission (CFTC) ,1981-1987,NO,,,,Louisiana State University,PhD finance and economics,"Louisiana State University, University of Iowa","1974-1976,1978-1980",Financial markets,"https://www.nndb.com/people/506/000128122/
https://www.federalreservehistory.org/people/susan_m_phillips?WT.si_n=Search&amp;WT.si_x=3"
22,hendricks,Darryll E. Hendricks,1967,"Senior vice president in the bank supervision group, 1992-1997",YES,New York,YES,Economist Fed NY,1992-1997,NO,,,,Harvard University,PhD. in public policy,,,,https://www.newyorkfed.org/newsevents/news/aboutthefed/1999/oa990803
23,hoenig,Thomas M. Hoenig,1946,"President, FRB Kansas City, 1991–2011",YES,Kansas City,YES,Economist FRB Kansas City,1971-1991,NO,,,,Iowa State University.,PhD in economics,,,Financial institutions,"https://www.federalreservehistory.org/people/thomas_m_hoenig?WT.si_n=Search&amp;WT.si_x=3
https://www.nndb.com/people/067/000169557/"
24,jordan,Jerry L. Jordan,1941,"President, FRB Cleveland, 1992–2003",YES,Cleveland,YES,Federal Reserve Bank of St. Louis,1967 - 1975 ,YES,Pittsburgh National Bank,Banking,1975 - 1980,UCLA,PhD in economics,University of New Mexico,1980 - 1985,Financial institutions,https://www.federalreservehistory.org/people/jerry_l_jordan?WT.si_n=Search&amp;WT.si_x=3
25,mcteer,Robert D. McTeer Jr,1942,"President, FRB Dallas, 1991–2004",YES,Dallas,YES,Federal Reserve Bank of Richmond as an economist,,NO,,,,University of Georgia,PhD in economics,University of Richmond and Virginia Commonwealth and  Johns Hopkins University,,,https://www.federalreservehistory.org/people/robert_d_mcteer_jr?WT.si_n=Search&amp;WT.si_x=3
26,oltman,James H. Oltman,1931,"First Vice President and COO,1961-1995",YES,New York,YES,Legel counsel Fed NY,1961-1995,NO,,,,Harvard Law School,Degree in law,,,,https://www.legacy.com/obituaries/nytimes/obituary.aspx?n=james-oltman&pid=175402791
27,mcdonough,William J. McDonough,1934,"President, FRB New York, 1993–2003",YES,New York,YES,State Department,1961-1967,YES,First National Bank of Chicago,Banking,1970-1992,Georgetown University,Master's in economics,,,,https://www.federalreservehistory.org/people/william_j_mcdonough?WT.si_n=Search&amp;WT.si_x=3
28,kohn,Donald L. Kohn,1942,"Vice Chair, Board of Governors, 2006–2010
Governor, Board of Governors, 2002–2006",NO,,YES,"Financial economist at the Federal Reserve Bank of Kansas City, Federal Reserve Board",1970-2002,NO,,,,University of Michigan ,PhD in economics,,,,"https://www.nndb.com/people/073/000169563/
https://www.federalreservehistory.org/people/donald_l_kohn?WT.si_n=Search&amp;WT.si_x=3"
