,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year
32,1992-02-05,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1992
33,1992-03-31,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1992
34,1992-05-19,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1992
35,1992-07-01,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1992
36,1992-08-18,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1992
37,1992-10-06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,1992
38,1992-11-17,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,1992
39,1992-12-22,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1992
40,1993-02-03,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1993
41,1993-03-23,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1993
42,1993-05-18,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1993
43,1993-07-07,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1993
44,1993-08-17,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1993
45,1993-09-21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,1993
46,1993-11-16,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1993
47,1993-12-21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1993
48,1994-02-04,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1994
49,1994-03-22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1994
50,1994-05-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,1994
51,1994-07-06,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7,1994
52,1994-08-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8,1994
