,Unnamed: 0,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year,perc_group,decision,newdate,-0.25,0.0,0.5,-0.5,0.25,0.75
52,63,1995-12-19,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1995,"-0.5,0,0.50",-0.25,1995-12-19,True,False,False,False,False,False
53,64,1996-01-31,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,1996,"-0.25,0,0.25",-0.25,1996-01-31,True,False,False,False,False,False
54,65,1996-03-26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1996,"-0.5,0,0.50",0.0,1996-03-26,False,True,False,False,False,False
55,66,1996-05-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,1996,"0,0.50",0.0,1996-05-21,False,True,False,False,False,False
56,67,1996-07-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1996,"0,0.25",0.0,1996-07-03,False,True,False,False,False,False
57,68,1996-08-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,1996,"0,0.25",0.0,1996-08-20,False,True,False,False,False,False
58,69,1996-09-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9,1996,"0,0.50",0.0,1996-09-24,False,True,False,False,False,False
59,70,1996-11-13,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1996,"-0.5,0,0.50",0.0,1996-11-13,False,True,False,False,False,False
60,71,1996-12-17,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1996,"-0.5,0,0.50",0.0,1996-12-17,False,True,False,False,False,False
61,72,1997-02-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1997,"0,0.50",0.0,1997-02-05,False,True,False,False,False,False
62,73,1997-03-25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1997,"0,0.50",0.25,1997-03-25,False,False,False,False,True,False
63,74,1997-05-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,1997,"0,0.50",0.0,1997-05-20,False,True,False,False,False,False
64,75,1997-07-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1997,"0,0.25",0.0,1997-07-02,False,True,False,False,False,False
65,76,1997-08-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,1997,"0,0.25",0.0,1997-08-19,False,True,False,False,False,False
66,77,1997-09-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,1997,"0,0.25",0.0,1997-09-30,False,True,False,False,False,False
67,78,1997-11-12,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,1997,"0,0.25",0.0,1997-11-12,False,True,False,False,False,False
68,79,1997-12-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12,1997,"-0.25,0,0.25",0.0,1997-12-16,False,True,False,False,False,False
69,80,1998-02-04,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1998,"-0.25,0",0.0,1998-02-04,False,True,False,False,False,False
70,81,1998-03-31,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,1998,"-0.25,0,0.25",0.0,1998-03-31,False,True,False,False,False,False
71,82,1998-05-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,1998,"0,0.25",0.0,1998-05-19,False,True,False,False,False,False
72,83,1998-07-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1998,"0,0.25",0.0,1998-07-01,False,True,False,False,False,False
73,84,1998-08-18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8,1998,"-0.25,0,0.25",0.0,1998-08-18,False,True,False,False,False,False
74,85,1998-09-29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,1998,"-0.25,0",-0.25,1998-09-29,True,False,False,False,False,False
75,86,1998-11-17,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11,1998,"-0.25,0",-0.25,1998-11-17,True,False,False,False,False,False
76,87,1998-12-22,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12,1998,"-0.25,0,0.25",0.0,1998-12-22,False,True,False,False,False,False
77,88,1999-02-03,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,1999,"-0.25,0,0.25",0.0,1999-02-03,False,True,False,False,False,False
78,89,1999-03-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1999,"0,0.25",0.0,1999-03-30,False,True,False,False,False,False
79,90,1999-05-18,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,1999,"0,0.25",0.0,1999-05-18,False,True,False,False,False,False
80,91,1999-06-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6,1999,"0,0.25",0.25,1999-06-30,False,False,False,False,True,False
81,92,1999-08-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,1999,"0,0.25",0.25,1999-08-24,False,False,False,False,True,False
82,93,1999-10-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,1999,"0,0.25",0.0,1999-10-05,False,True,False,False,False,False
83,94,1999-11-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,1999,"0,0.25",0.25,1999-11-16,False,False,False,False,True,False
84,95,1999-12-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12,1999,"0,0.25",0.0,1999-12-21,False,True,False,False,False,False
85,96,2000-02-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,2000,"0,0.25,0.50",0.25,2000-02-02,False,False,False,False,True,False
86,97,2000-03-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,2000,"0,0.25,0.50",0.25,2000-03-21,False,False,False,False,True,False
87,98,2000-05-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,2000,"0.25,0.50",0.5,2000-05-16,False,False,True,False,False,False
88,99,2000-06-28,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6,2000,"0,0.25",0.0,2000-06-28,False,True,False,False,False,False
89,100,2000-08-22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,2000,"0,0.25",0.0,2000-08-22,False,True,False,False,False,False
