,end_date,event_type,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_treatment_size_alt_d,bluebook_treatment_alt_d,bluebook_treatment_size_alt_e,bluebook_treatment_alt_e,statement_policy_change,statement_policy_action,alternative_treatment_chosen,alternative_treatment_size_chosen
815,2005-09-20,Meeting,U,0,T,0.25,N,N,,,,,25.0,T,alt_b,alt_b
816,2005-11-01,Meeting,U,0,T,0.25,T,0.5,,,,,25.0,T,alt_b and alt_c,alt_b
817,2005-12-13,Meeting,N,N,T,0.25,T,0.25,,,,,25.0,T,alt_b and alt_c,alt_b and alt_c
818,2006-01-31,Meeting,T,0.25,T,0.25,T,0.25,,,,,25.0,T,alt_a and alt_b and alt_c,alt_a and alt_b and alt_c
819,2006-03-28,Meeting,U,0,T,0.25,T,0.25,,,,,25.0,T,alt_b and alt_c,alt_b and alt_c
820,2006-05-10,Meeting,U,0,T,0.25,T,0.5,,,,,25.0,T,alt_b and alt_c,alt_b
821,2006-06-29,Meeting,U,0,T,0.25,T,0.5,,,,,25.0,T,alt_b and alt_c,alt_b
822,2006-08-08,Meeting,U,0,U,0,T,0.25,0.25,T,,,0.0,U,alt_a and alt_b,alt_a and alt_b
823,2006-09-20,Meeting,U,0,U,0,T,0.25,,,,,0.0,U,alt_a and alt_b,alt_a and alt_b
824,2006-10-25,Meeting,U,0,U,0,T,0.25,,,,,0.0,U,alt_a and alt_b,alt_a and alt_b
825,2006-12-12,Meeting,U,0,U,0,T,0.25,,,,,0.0,U,alt_a and alt_b,alt_a and alt_b
826,2007-01-31,Meeting,U,0,U,0,T,0.25,,,,,0.0,U,alt_a and alt_b,alt_a and alt_b
827,2007-03-21,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
828,2007-05-09,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
829,2007-06-28,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
830,2007-08-07,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
833,2007-09-18,Meeting,E,-0.5,E,-0.5,E,-0.25,0.0,U,,,-50.0,E,alt_a and alt_b and alt_c,alt_a and alt_b
834,2007-10-31,Meeting,E,-0.25,U,0,U,0,,,,,-25.0,E,alt_a,alt_a
836,2007-12-11,Meeting,E,-0.5,E,-0.5,U,0,,,,,-25.0,E,alt_a and alt_b,
839,2008-01-30,Meeting,E,-0.75,E,-0.5,E,-0.25,0.0,U,,,-50.0,E,alt_a and alt_b and alt_c,alt_b
841,2008-03-18,Meeting,E,-0.75,E,-0.5,E,-0.25,0.0,U,,,-75.0,E,alt_a and alt_b and alt_c,alt_a
842,2008-04-30,Meeting,E,-0.5,E,-0.25,U,0,,,,,-25.0,E,alt_a and alt_b,alt_b
843,2008-06-25,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
845,2008-08-05,Meeting,N,N,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
846,2008-09-16,Meeting,U,0,U,0,T,0.25,,,,,0.0,U,alt_a and alt_b,alt_a and alt_b
849,2008-10-29,Meeting,E,-0.5,E,-0.25,U,0,,,,,-50.0,E,alt_a and alt_b,alt_a
850,2008-12-16,Meeting,E,-1,E,-0.25,E,-0.5,0.0,U,,,,,,
