,Unnamed: 0,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year,perc_group,decision,-0.125,0.25,0.3125,0.0,0.0625,0.125,-0.25,-0.5,0.5,0.75,-0.75
92,92,1999-08-24,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,8,1999,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
93,93,1999-10-05,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,10,1999,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
94,94,1999-11-16,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,11,1999,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
95,95,1999-12-21,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,12,1999,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
96,96,2000-02-02,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,2,2000,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
97,97,2000-03-21,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,3,2000,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
98,98,2000-05-16,0.0,0.0,1.0,0.0,0.0,0,0.0,1,1.0,0.0,5,2000,0.25,0.5,False,False,False,False,False,False,False,False,True,False,False
99,99,2000-06-28,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,6,2000,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
100,100,2000-08-22,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,8,2000,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
101,101,2000-10-03,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,10,2000,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
102,102,2000-11-15,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,11,2000,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
103,103,2000-12-19,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,12,2000,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
104,104,2001-01-31,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,1,2001,"-0.25,0",-0.5,False,False,False,False,False,False,False,True,False,False,False
105,105,2001-03-20,1.0,0.0,0.0,1.0,1.0,1,0.0,0,0.0,0.0,3,2001,-0.25,-0.5,False,False,False,False,False,False,False,True,False,False,False
106,106,2001-05-15,1.0,0.0,0.0,1.0,1.0,1,0.0,0,0.0,0.0,5,2001,-0.25,-0.5,False,False,False,False,False,False,False,True,False,False,False
107,107,2001-06-27,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,6,2001,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
108,108,2001-08-21,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,8,2001,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
109,109,2001-10-02,1.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,10,2001,-0.25,-0.5,False,False,False,False,False,False,False,True,False,False,False
110,110,2001-11-06,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,11,2001,"-0.25,0",-0.5,False,False,False,False,False,False,False,True,False,False,False
111,111,2001-12-11,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,12,2001,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
112,112,2002-01-30,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,1,2002,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
113,113,2002-03-19,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,3,2002,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
114,114,2002-05-07,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,5,2002,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
115,115,2002-06-26,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,6,2002,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
116,116,2002-08-13,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,8,2002,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
117,117,2002-09-24,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,9,2002,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
118,118,2002-11-06,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,11,2002,"-0.25,0",-0.5,False,False,False,False,False,False,False,True,False,False,False
119,119,2002-12-10,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,12,2002,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
120,120,2003-01-29,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,1,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
121,121,2003-03-18,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,3,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
122,122,2003-05-06,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,5,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
123,123,2003-06-25,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,6,2003,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
124,124,2003-08-12,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,8,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
125,125,2003-09-16,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,9,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
126,126,2003-10-28,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,10,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
127,127,2003-12-09,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,12,2003,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
128,128,2004-01-28,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,1,2004,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
129,129,2004-03-16,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,3,2004,0,0.0,False,False,False,True,False,False,False,False,False,False,False
130,130,2004-05-04,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,5,2004,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
131,131,2004-06-30,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,6,2004,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
132,132,2004-08-10,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,8,2004,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
133,133,2004-09-21,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,9,2004,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
134,134,2004-11-10,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,11,2004,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
135,135,2004-12-14,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,12,2004,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
136,136,2005-02-02,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,2,2005,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
137,137,2005-03-22,0.0,0.0,1.0,0.0,0.0,0,0.0,1,1.0,0.0,3,2005,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False
138,138,2005-05-03,0.0,0.0,1.0,0.0,0.0,0,0.0,1,1.0,0.0,5,2005,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False
139,139,2005-06-30,0.0,0.0,1.0,0.0,0.0,0,0.0,1,1.0,0.0,6,2005,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False
140,140,2005-08-09,0.0,0.0,1.0,0.0,0.0,0,0.0,1,1.0,0.0,8,2005,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False
141,141,2005-09-20,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,9,2005,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
142,142,2005-11-01,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,11,2005,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
143,143,2005-12-13,0.0,0.0,1.0,0.0,0.0,0,0.0,1,0.0,0.0,12,2005,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False
144,144,2006-01-31,0.0,0.0,1.0,0.0,0.0,0,0.0,1,0.0,0.0,1,2006,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False
145,145,2006-03-28,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,3,2006,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
146,146,2006-05-10,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,5,2006,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
147,147,2006-06-29,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,6,2006,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
148,148,2006-08-08,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,8,2006,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
149,149,2006-09-20,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,9,2006,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
150,150,2006-10-25,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,10,2006,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
151,151,2006-12-12,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,12,2006,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
152,152,2007-01-31,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,1,2007,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
153,153,2007-03-21,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,3,2007,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
154,154,2007-05-09,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,5,2007,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
155,155,2007-06-28,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,6,2007,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
