year,start_date,end_date,numberofsentences_altE,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,Sentence_1
1988,1988-08-16,1988-08-16,0,8.41,8.125,8.125,No Sentences Alternative E
1988,1988-09-20,1988-09-20,0,8.05,8.125,8.125,No Sentences Alternative E
1988,1988-11-01,1988-11-01,0,8.39,8.125,8.125,No Sentences Alternative E
1988,1988-12-13,1988-12-14,0,8.58,8.375,8.375,No Sentences Alternative E
1989,1989-02-07,1989-02-08,0,9.08,9,9,No Sentences Alternative E
1989,1989-03-28,1989-03-28,0,9.9,9.75,9.75,No Sentences Alternative E
1989,1989-05-16,1989-05-16,0,9.79,9.75,9.75,No Sentences Alternative E
1989,1989-07-05,1989-07-06,0,9.49,9.5625,9.5625,No Sentences Alternative E
1989,1989-08-22,1989-08-22,0,8.94,9.0625,9.0625,No Sentences Alternative E
1989,1989-10-03,1989-10-03,0,9.16,9.0625,9.0625,No Sentences Alternative E
1989,1989-11-14,1989-11-14,0,8.44,8.5,8.5,No Sentences Alternative E
1989,1989-12-18,1989-12-19,0,8.56,8.5,8.5,No Sentences Alternative E
1990,1990-02-06,1990-02-07,0,8.22,8.25,8.25,No Sentences Alternative E
1990,1990-03-27,1990-03-27,0,8.25,8.25,8.25,No Sentences Alternative E
1990,1990-05-15,1990-05-15,0,8.27,8.25,8.25,No Sentences Alternative E
1990,1990-07-02,1990-07-03,0,8.32,8.25,8.25,No Sentences Alternative E
1990,1990-08-21,1990-08-21,0,8.08,8,8,No Sentences Alternative E
1990,1990-10-02,1990-10-02,0,8.25,8,8,No Sentences Alternative E
1990,1990-11-13,1990-11-13,0,7.73,7.75,7.75,No Sentences Alternative E
1990,1990-12-18,1990-12-18,0,7.44,7.25,7.25,No Sentences Alternative E
1991,1991-02-05,1991-02-06,0,6.1,6.25,6.25,No Sentences Alternative E
1991,1991-03-26,1991-03-26,0,6.08,6,6,No Sentences Alternative E
1991,1991-05-14,1991-05-14,0,5.8,5.75,5.75,No Sentences Alternative E
1991,1991-07-02,1991-07-03,0,6.38,5.75,5.75,No Sentences Alternative E
1991,1991-08-20,1991-08-20,0,5.54,5.5,5.5,No Sentences Alternative E
1991,1991-10-01,1991-10-01,0,5.6,5.25,5.25,No Sentences Alternative E
1991,1991-11-05,1991-11-05,0,5.09,5,5,No Sentences Alternative E
1991,1991-12-17,1991-12-17,0,4.65,4.5,4.5,No Sentences Alternative E
1992,1992-02-04,1992-02-05,0,4,4,4,No Sentences Alternative E
1992,1992-03-31,1992-03-31,0,3.94,4,4,No Sentences Alternative E
1992,1992-05-19,1992-05-19,0,3.88,3.75,3.75,No Sentences Alternative E
1992,1992-06-30,1992-07-01,0,3.8,3.75,3.75,No Sentences Alternative E
1992,1992-08-18,1992-08-18,0,3.54,3.25,3.25,No Sentences Alternative E
1992,1992-10-06,1992-10-06,0,3.22,3,3,No Sentences Alternative E
1992,1992-11-17,1992-11-17,0,3.28,3,3,No Sentences Alternative E
1992,1992-12-22,1992-12-22,0,3.06,3,3,No Sentences Alternative E
1993,1993-02-02,1993-02-03,0,3.25,3,3,No Sentences Alternative E
1993,1993-03-23,1993-03-23,0,2.99,3,3,No Sentences Alternative E
1993,1993-05-18,1993-05-18,0,3.34,3,3,No Sentences Alternative E
1993,1993-07-06,1993-07-07,0,2.96,3,3,No Sentences Alternative E
1993,1993-08-17,1993-08-17,0,3.34,3,3,No Sentences Alternative E
1993,1993-09-21,1993-09-21,0,3.38,3,3,No Sentences Alternative E
1993,1993-11-16,1993-11-16,0,3.23,3,3,No Sentences Alternative E
1993,1993-12-21,1993-12-21,0,3.03,3,3,No Sentences Alternative E
1994,1994-02-03,1994-02-04,0,3.31,3,3.25,No Sentences Alternative E
1994,1994-03-22,1994-03-22,0,3.36,3.25,3.5,No Sentences Alternative E
1994,1994-05-17,1994-05-17,0,4.29,3.75,4.25,No Sentences Alternative E
1994,1994-07-05,1994-07-06,0,3.82,4.25,4.25,No Sentences Alternative E
1994,1994-08-16,1994-08-16,0,4.5,4.25,4.75,No Sentences Alternative E
1994,1994-09-27,1994-09-27,0,4.78,4.75,4.75,No Sentences Alternative E
1994,1994-11-15,1994-11-15,0,5.48,4.75,5.5,No Sentences Alternative E
1994,1994-12-20,1994-12-20,0,5.27,5.5,5.5,No Sentences Alternative E
1995,1995-01-31,1995-02-01,0,5.76,5.5,6,No Sentences Alternative E
1995,1995-03-28,1995-03-28,0,6.13,6,6,No Sentences Alternative E
1995,1995-05-23,1995-05-23,0,6,6,6,No Sentences Alternative E
1995,1995-07-05,1995-07-06,0,5.89,6,5.75,No Sentences Alternative E
1995,1995-08-22,1995-08-22,0,5.71,5.75,5.75,No Sentences Alternative E
1995,1995-09-26,1995-09-26,0,5.75,5.75,5.75,No Sentences Alternative E
1995,1995-11-15,1995-11-15,0,5.71,5.75,5.75,No Sentences Alternative E
1995,1995-12-19,1995-12-19,0,5.76,5.75,5.5,No Sentences Alternative E
1996,1996-01-30,1996-01-31,0,5.53,5.5,5.25,No Sentences Alternative E
1996,1996-03-26,1996-03-26,0,5.29,5.25,5.25,No Sentences Alternative E
1996,1996-05-21,1996-05-21,0,5.21,5.25,5.25,No Sentences Alternative E
