l1_inflation,l1_unemp,d_y2k,d_nineeleven,target_change_last,target_change_last_fomc,d_meeting,scale,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
-0.02135,4.7,0.0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.04938,4.6,0.0,0,0.0,0.0,1,1.12,0,1,0,0,0,0,0,0,0,0,0
-0.052020000000000004,4.6,0.0,0,0.0,0.0,1,31.0,0,0,1,0,0,0,0,0,0,0,0
0.01601,4.7,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.12409,4.3,0.0,0,0.0,0.0,1,2.3846153846153846,0,0,0,0,1,0,0,0,0,0,0
0.13727,4.4,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
-0.08517000000000001,4.5,0.0,0,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0
0.24775,4.5,0.0,0,0.0,0.0,1,2.2142857142857144,0,0,0,0,0,0,0,1,0,0,0
0.13818,4.5,0.0,0,0.0,0.0,1,15.0,0,0,0,0,0,0,0,0,1,0,0
-0.058379999999999994,4.6,0.0,0,-0.25,-0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.21906,4.5,0.0,0,-0.25,-0.25,1,2.142857142857143,0,0,0,0,0,0,0,0,0,0,1
0.0053,4.4,0.0,0,-0.25,-0.25,1,3.1,0,0,0,0,0,0,0,0,0,0,0
0.10067000000000001,4.4,0.0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.18262,4.3,0.0,0,0.0,0.0,1,1.0769230769230769,0,1,0,0,0,0,0,0,0,0,0
-0.023780000000000003,4.4,0.0,0,0.0,0.0,1,15.5,0,0,1,0,0,0,0,0,0,0,0
0.07795,4.2,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.46207,4.3,0.0,0,0.0,0.0,1,2.2142857142857144,0,0,0,0,1,0,0,0,0,0,0
0.04994,4.2,0.0,0,0.0,0.0,1,30.0,0,0,0,0,0,1,0,0,0,0,0
0.02102,4.3,0.0,0,0.25,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0.26527,4.3,0.0,0,0.0,0.0,1,3.875,0,0,0,0,0,0,0,1,0,0,0
0.1755,4.2,0.0,0,0.25,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.35039000000000003,4.2,0.0,0,0.0,0.0,1,1.148148148148148,0,0,0,0,0,0,0,0,0,1,0
0.15895,4.1,0.0,0,0.0,0.0,1,2.0,0,0,0,0,0,0,0,0,0,0,1
0.08715,4.1,0.0,0,0.25,0.25,1,2.8181818181818183,0,0,0,0,0,0,0,0,0,0,0
0.24044000000000001,4.0,1.0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.28524,4.0,0.0,0,0.0,0.0,1,1.0357142857142858,0,1,0,0,0,0,0,0,0,0,0
0.32192,4.1,0.0,0,0.25,0.25,1,2.8181818181818183,0,0,1,0,0,0,0,0,0,0,0
0.4265600000000001,4.0,0.0,0,0.25,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
-0.09881000000000001,3.8,0.0,0,0.0,0.0,1,1.9375,0,0,0,0,1,0,0,0,0,0,0
0.07065,4.0,0.0,0,0.5,0.5,1,10.0,0,0,0,0,0,1,0,0,0,0,0
0.32732,4.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0.24053000000000002,4.0,0.0,0,0.0,0.0,1,3.1,0,0,0,0,0,0,0,1,0,0,0
-0.01149,4.1,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.4289,3.9,0.0,0,0.0,0.0,1,1.0689655172413792,0,0,0,0,0,0,0,0,0,1,0
0.14107999999999998,3.9,0.0,0,0.0,0.0,1,1.875,0,0,0,0,0,0,0,0,0,0,1
0.12819,3.9,0.0,0,0.0,0.0,1,2.3846153846153846,0,0,0,0,0,0,0,0,0,0,0
0.13055999999999998,3.9,0.0,0,0.0,0.0,1,31.0,1,0,0,0,0,0,0,0,0,0,0
0.45195,4.2,0.0,0,-1.0,-0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.13863,4.2,0.0,0,0.0,0.0,1,2.583333333333333,0,0,1,0,0,0,0,0,0,0,0
0.00503,4.3,0.0,0,-0.5,-0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
