DEAJKoldbal_m050,DEAJKoldbal_m025,DEAJKoldbal_0,DEAJKoldbal_025,DEAJKoldbal_050,PCEHbal_m050,PCEHbal_m025,PCEHbal_0,PCEHbal_025,PCEHbal_050,PCEH1bal_m050,PCEH1bal_m025,PCEH1bal_0,PCEH1bal_025,PCEH1bal_050,UNRATEbal_m050,UNRATEbal_m025,UNRATEbal_0,UNRATEbal_025,UNRATEbal_050,UNRATE1bal_m050,UNRATE1bal_m025,UNRATE1bal_0,UNRATE1bal_025,UNRATE1bal_050,rbal_m050,rbal_m025,rbal_0,rbal_025,rbal_050,LastChangebal_m050,LastChangebal_m025,LastChangebal_0,LastChangebal_025,LastChangebal_050
,,-.039478872,,,,,.041518223,,,,,.093500324,,,,,-.074816778,,,,,.074816778,,,,,4.114923,,,,,0,,
,,-7.1229467,,,,,.71731502,,,,,.49348995,,,,,-.88928008,,,,,-.88928008,,,,,48.910404,,,,,0,,
,,.0238852,,,,,.18134464,,,,,.064220838,,,,,.07961677,,,,,-.07961677,,,,,4.3789225,,,,,0,,
,,.027590178,,,,,.09563788,,,,,.17001261,,,,,-.14928322,,,,,.074641608,,,,,4.1052885,,,,,0,,
,,.07354477,,,,,.011051867,,,,,.1025537,,,,,-.080039129,,,,,-.16007826,,,,,4.4021521,,,,,0,,
,,.055866197,,,,,-.015194545,,,,,.012856761,,,,,.09311042,,,,,-.09311042,,,,,5.1210728,,,,,0,,
,,-.05498635,,,,,.02988608,,,,,-.012534289,,,,,-.076808669,,,,,.076808669,,,,,4.2244768,,,,,0,,
,,-.28325638,,,,,-.047623497,,,,,.029523047,,,,,0,,,,,-.075875655,,,,,4.173161,,,,,0,,
,,.019360164,,,,,.0085083144,,,,,-.060757272,,,,,.096800916,,,,,0,,,,,5.3240504,,,,,0,,
,,.053689923,,,,,.12183854,,,,,.0084499791,,,,,-.3845489,,,,,.096137226,,,,,5.2875476,,,,,0,,
,,.0078510093,,,,,.11018572,,,,,.099496692,,,,,.078508295,,,,,-.31403318,,,,,4.3179564,,,,,0,,
