ffed,pceh,ip,unrate,date,TargetChange,DEAJKold,r,LastChange,LastCFOMC,Scale,FOMCMeetings,DY2K,D911,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,PCEH,UNRATE,PCEH1,UNRATE1,Crisis,DEAJKoldXCrisis
3.76,71.373001,63,7.8000002,30jun1992,0,.019999981,3.75,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.1334279230810012,.1999999999999993,.2688003419865481,0,0,0
3.25,71.608002,63.5,7.6999998,31jul1992,-.5,-.1407682,3.75,0,0,1.033333333333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.176693356866565,.2000000000000002,.1334279230810012,.1999999999999993,0,0
3.3,71.703003,63.200001,7.5999999,31aug1992,0,-.11891272,3.25,-.5,-.5,2.384615384615385,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.3287153000821945,-.0999999999999996,.176693356866565,.2000000000000002,0,0
3.22,71.820999,63.299999,7.5999999,30sep1992,-.25,-.019999981,3.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.1325788165810877,-.1000000000000005,.3287153000821945,-.0999999999999996,0,0
3.0999999,72.077003,63.799999,7.3000002,31oct1992,0,-.14269535,3,-.25,-.25,2.384615384615385,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.1644324664688384,0,.1325788165810877,-.1000000000000005,0,0
3.0899999,72.222,64.099998,7.4000001,30nov1992,0,-.054076958,3,0,0,2.307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.3558079613038103,-.2999999999999998,.1644324664688384,0,0,0
2.9200001,72.348999,64.099998,7.4000001,31dec1992,0,.27375001,3,0,0,3.444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.200971661347694,.1000000000000005,.3558079613038103,-.2999999999999998,0,0
3.02,72.523003,64.400002,7.3000002,31jan1993,0,.1400001,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1756922656251163,0,.200971661347694,.1000000000000005,0,0
3.03,72.632004,64.599998,7.0999999,28feb1993,0,-.023131985,3,0,0,1.12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.2402121647630224,-.1000000000000005,.1756922656251163,0,0,0
3.0699999,72.779999,64.599998,7,31mar1993,0,-.08995308,3,0,0,3.875,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.150184313992213,-.2000000000000002,.2402121647630224,-.1000000000000005,0,0
2.96,72.975998,64.800003,7.0999999,30apr1993,0,.039999962,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.2035596114558302,-.0999999999999996,.150184313992213,-.2000000000000002,0,0
3,73.202003,64.599998,7.0999999,31may1993,0,-.084134437,3,0,0,2.384615384615385,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.2689427785330736,.0999999999999996,.2035596114558302,-.0999999999999996,0,0
3.04,73.227997,64.699997,7,30jun1993,0,.089999914,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.3092123029042568,0,.2689427785330736,.0999999999999996,0,0
3.0599999,73.344002,64.900002,6.9000001,31jul1993,0,-.049722455,3,0,0,1.291666666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.0355118490380733,-.0999999999999996,.3092123029042568,0,0,0
3.03,73.470001,64.900002,6.8000002,31aug1993,0,.003978024,3,0,0,2.214285714285714,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.158284016345192,-.0999999999999996,.0355118490380733,-.0999999999999996,0,0
3.0899999,73.549004,65.199997,6.6999998,30sep1993,0,-.11293422,3,0,0,3.333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.1716457979965753,-.1000000000000005,.158284016345192,-.0999999999999996,0,0
2.99,73.778999,65.699997,6.8000002,31oct1993,0,.039999962,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.1074691129766165,-.0999999999999996,.1716457979965753,-.1000000000000005,0,0
3.02,73.916,65.900002,6.5999999,30nov1993,0,-.019606872,3,0,0,2.142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.3122287506103589,.0999999999999996,.1074691129766165,-.0999999999999996,0,0
2.96,73.931999,66.300003,6.5,31dec1993,0,.20039603,3,0,0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.1855175047123225,-.2000000000000002,.3122287506103589,.0999999999999996,0,0
3.05,73.956001,66.5,6.5999999,31jan1994,0,.11999989,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0216438505255496,-.0999999999999996,.1855175047123225,-.2000000000000002,0,0
3.25,74.125999,66.599998,6.5999999,28feb1994,.25,.12900852,3,0,0,1.166666666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.0324569947671876,.0999999999999996,.0216438505255496,-.0999999999999996,0,0
3.3399999,74.332001,67.300003,6.5,31mar1994,.25,.19016217,3.25,.25,.25,3.444444444444445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.229602618391084,0,.0324569947671876,.0999999999999996,0,0
3.5599999,74.418999,67.599998,6.4000001,30apr1994,.25,.089999914,3.5,.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.2775197459387186,-.0999999999999996,.229602618391084,0,0,0
4.0100002,74.527,68,6.0999999,31may1994,.5,.29757127,3.75,.25,.25,2.214285714285714,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.1169740168740532,-.0999999999999996,.2775197459387186,-.0999999999999996,0,0
4.25,74.706001,68.400002,6.0999999,30jun1994,0,.059999943,4.25,.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.1450190255897041,-.3000000000000007,.1169740168740532,-.0999999999999996,0,0
4.2600002,74.943001,68.599998,6.0999999,31jul1994,0,.15885438,4.25,0,0,1.24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.2398934362288401,0,.1450190255897041,-.3000000000000007,0,0
4.4699998,75.110001,68.900002,6,31aug1994,.5,.31171468,4.25,0,0,2.066666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.3167414391571128,0,.2398934362288401,0,0,0
4.73,75.194,69.199997,5.9000001,30sep1994,0,.019689897,4.75,.5,.5,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.2225881108018939,-.0999999999999996,.3167414391571128,0,0,0
4.7600002,75.320999,69.800003,5.8000002,31oct1994,0,.21000004,4.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.1117734840660773,-.0999999999999996,.2225881108018939,-.0999999999999996,0,0
5.29,75.468002,70.199997,5.5999999,30nov1994,.5,.62252396,4.75,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.168753984837565,-.1000000000000005,.1117734840660773,-.0999999999999996,0,0
5.4499998,75.517998,70.900002,5.5,31dec1994,0,.27743769,5.5,.75,.75,2.818181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.1949744962409454,-.2000000000000002,.168753984837565,-.1000000000000005,0,0
5.5300002,75.666,71.099998,5.5999999,31jan1995,0,.19000006,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.06623130863494,-.0999999999999996,.1949744962409454,-.2000000000000002,0,0
5.9200001,75.793999,71,5.4000001,28feb1995,.5,.46000004,5.5,0,0,1.037037037037037,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.1957879766076758,.0999999999999996,.06623130863494,-.0999999999999996,0,0
5.98,75.929001,71.199997,5.4000001,31mar1995,0,-.1552919,6,.5,.5,10.33333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.169021564073546,-.1999999999999993,.1957879766076758,.0999999999999996,0,0
6.0500002,76.126999,71.099998,5.8000002,30apr1995,0,.039999962,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.1779559270866002,0,.169021564073546,-.1999999999999993,0,0
6.0100002,76.238998,71.300003,5.5999999,31may1995,0,-.045760628,6,0,0,3.875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.2604305149546349,.3999999999999995,.1779559270866002,0,0,0
6,76.307999,71.599998,5.5999999,30jun1995,0,-.010000229,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.1470144522693317,-.2000000000000002,.2604305149546349,.3999999999999995,0,0
