year,event_type,multi_day,start_month,start_day,end_month,end_day,Beige Book,Tealbook A,Tealbook B,Agenda,Statement,2013 Memos,Minutes,Transcript,Presentation materials,Press Conference,SEP: Individual Projections,Greenbook,Bluebook,Record of Policy Actions,Minutes of Actions,multi-day,Redbook,Staff statements,,"Historical Minutes, 10:30 a.m.","Historical Minutes, 2:45 p.m.",Intermeeting Executive Committee Minutes,Historical Minutes,Supplement,Memoranda of Discussion,Supplement 2,Accessible version,2003 Memos,Accessible material,SEP: Participant Key,Greenbook and Bluebook accessible materials,2009 Memos,2010 Memos,Tealbook accessible materials,2011 Memos,2012 Memos,2008 Memos
1990,Meeting,,December,18,December,18,"['/monetarypolicy/files/fomc19901218beige19901205.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19901218Agenda.pdf,,,,/monetarypolicy/files/FOMC19901218meeting.pdf,/monetarypolicy/files/FOMC19901218material.pdf,,,"['/monetarypolicy/files/fomc19901218gbpt119901212.pdf', '/monetarypolicy/files/fomc19901218gbpt219901212.pdf', '/monetarypolicy/files/fomc19901218gbsup19901214.pdf']",/monetarypolicy/files/fomc19901218bluebook19901214.pdf,/monetarypolicy/files/fomcropa19901218.pdf,/monetarypolicy/files/fomcmoa19901218.pdf,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,January,9,January,9,,,,,,,,/monetarypolicy/files/FOMC19910109confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,February,1,February,1,,,,,,,,/monetarypolicy/files/FOMC19910201confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,1,February,5,February,6,"['/monetarypolicy/files/fomc19910206beige19910123.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19910206Agenda.pdf,,,,/monetarypolicy/files/FOMC19910206meeting.pdf,/monetarypolicy/files/FOMC19910206material.pdf,,,"['/monetarypolicy/files/fomc19910206gbpt119910130.pdf', '/monetarypolicy/files/fomc19910206gbpt219910130.pdf', '/monetarypolicy/files/fomc19910206gbsup19910201.pdf']",/monetarypolicy/files/fomc19910206bluebook19910201.pdf,/monetarypolicy/files/fomcropa19910206.pdf,/monetarypolicy/files/fomcmoa19910206.pdf,,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,,March,26,March,26,"['/monetarypolicy/files/fomc19910326beige19910313.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19910326Agenda.pdf,,,,/monetarypolicy/files/FOMC19910326meeting.pdf,/monetarypolicy/files/FOMC19910326material.pdf,,,"['/monetarypolicy/files/fomc19910326gbpt119910320.pdf', '/monetarypolicy/files/fomc19910326gbpt219910320.pdf', '/monetarypolicy/files/fomc19910326gbsup19910322.pdf']",/monetarypolicy/files/fomc19910326bluebook19910322.pdf,/monetarypolicy/files/fomcropa19910326.pdf,/monetarypolicy/files/fomcmoa19910326.pdf,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,April,12,April,12,,,,,,,,/monetarypolicy/files/FOMC19910412confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,April,30,April,30,,,,,,,,/monetarypolicy/files/FOMC19910430confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,May,1,May,1,,,,,,,,/monetarypolicy/files/FOMC19910501confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,,May,14,May,14,"['/monetarypolicy/files/fomc19910514beige19910501.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19910514Agenda.pdf,,,,/monetarypolicy/files/FOMC19910514meeting.pdf,/monetarypolicy/files/FOMC19910514material.pdf,,,"['/monetarypolicy/files/fomc19910514gbpt119910508.pdf', '/monetarypolicy/files/fomc19910514gbpt219910508.pdf', '/monetarypolicy/files/fomc19910514gbsup19910510.pdf']",/monetarypolicy/files/fomc19910514bluebook19910510.pdf,/monetarypolicy/files/fomcropa19910514.pdf,/monetarypolicy/files/fomcmoa19910514.pdf,0,,,,,,,,,,,,,,,,,,,,,
1983,Conference Call,,January,14,January,14,,,,,,,,/monetarypolicy/files/FOMC19830114confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
