year,month,market_exp
2001.0,3.0,-0.5379166667178654
2001.0,4.0,-0.09000000000000341
2001.0,5.0,-0.38808823529412345
2001.0,6.0,-0.15949999999997413
2001.0,7.0,0.0
2001.0,8.0,-0.2606818184378038
2001.0,9.0,-0.010000000000005116
2001.0,10.0,-0.45033333333333525
2001.0,11.0,-0.3954999999999926
2001.0,12.0,-0.2638095238095135
2002.0,1.0,0.06700000000006144
2002.0,2.0,-0.0049999999999954525
2002.0,3.0,0.07884615384301666
2002.0,4.0,0.0049999999999954525
2002.0,5.0,0.0017999999999943669
2002.0,6.0,0.06400000000003071
2002.0,7.0,-0.0049999999999954525
2002.0,8.0,-0.05671052631579217
2002.0,9.0,-0.026785737142859554
2002.0,10.0,-0.09499999999999886
2002.0,11.0,-0.27369999999999917
2002.0,12.0,-0.019204545454539854
