,start_date,end_date,event_type,statement_policy_change,statement_policy_action,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,nyt_article_counts,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments
93,1952-12-08,1952-12-08,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
94,1953-03-04,1953-03-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
95,1953-06-11,1953-06-11,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
96,1953-09-24,1953-09-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
97,1953-12-15,1953-12-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
98,1954-03-03,1954-03-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
99,1954-06-23,1954-06-23,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
100,1954-09-22,1954-09-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
101,1954-12-07,1954-12-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
102,1955-01-11,1955-01-11,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
103,1955-03-02,1955-03-02,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
104,1955-05-10,1955-05-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
105,1955-06-22,1955-06-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
106,1955-07-12,1955-07-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
107,1955-08-02,1955-08-02,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
108,1955-08-23,1955-08-23,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
109,1955-09-14,1955-09-14,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
110,1955-09-26,1955-09-26,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
111,1955-10-04,1955-10-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
112,1955-10-25,1955-10-25,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
113,1955-11-16,1955-11-16,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
114,1955-11-30,1955-11-30,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
115,1955-12-08,1955-12-08,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
116,1955-12-13,1955-12-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
117,1956-01-10,1956-01-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
118,1956-01-24,1956-01-24,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
119,1956-02-15,1956-02-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
120,1956-03-06,1956-03-06,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
121,1956-03-27,1956-03-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
122,1956-04-17,1956-04-17,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
123,1956-04-18,1956-04-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
124,1956-05-09,1956-05-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
125,1956-05-23,1956-05-23,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
126,1956-06-05,1956-06-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
127,1956-06-26,1956-06-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
128,1956-07-17,1956-07-17,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
129,1956-08-07,1956-08-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
130,1956-08-21,1956-08-21,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
131,1956-09-11,1956-09-11,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
132,1956-09-25,1956-09-25,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
133,1956-10-16,1956-10-16,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
134,1956-11-13,1956-11-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
135,1956-11-27,1956-11-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
136,1956-12-10,1956-12-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
137,1957-01-08,1957-01-08,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
138,1957-01-28,1957-01-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
139,1957-02-18,1957-02-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
140,1957-03-05,1957-03-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
141,1957-03-26,1957-03-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
142,1957-04-16,1957-04-16,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
143,1957-04-24,1957-04-24,Conference Call,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
144,1957-05-07,1957-05-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
145,1957-05-28,1957-05-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
146,1957-06-18,1957-06-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
147,1957-07-09,1957-07-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
148,1957-07-30,1957-07-30,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
149,1957-08-20,1957-08-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
150,1957-09-10,1957-09-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
151,1957-10-01,1957-10-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
152,1957-10-22,1957-10-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
153,1957-11-12,1957-11-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
154,1957-12-03,1957-12-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
155,1957-12-17,1957-12-17,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
156,1958-01-07,1958-01-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
157,1958-01-28,1958-01-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
158,1958-02-11,1958-02-11,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
