,start_date,end_date,event_type,statement_policy_change,statement_policy_action,d_statement,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,wsj_article_count,nyt_article_count,ft_article_count,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments,year
94,1953-03-04,1953-03-05,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1953
95,1953-06-11,1953-06-11,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1953
96,1953-09-24,1953-09-24,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1953
97,1953-12-15,1953-12-15,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1953
98,1954-03-03,1954-03-03,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1954
99,1954-06-23,1954-06-23,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1954
100,1954-09-22,1954-09-22,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1954
101,1954-12-07,1954-12-07,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1954
102,1955-01-11,1955-01-11,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
103,1955-03-02,1955-03-02,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
104,1955-05-10,1955-05-10,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
105,1955-06-22,1955-06-22,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1955
