id,year,meeting_info,document_name,link
81,1939,March 20 Meeting - 1939,"Intermeeting Executive Committee Minutes:March 20, 1939 (115 KB PDF)",/monetarypolicy/files/FOMChminec119390320.pdf
82,1939,April 19 Meeting - 1939,Record of Policy Actions (279 KB PDF),/monetarypolicy/files/fomcropa19390419.pdf
83,1939,April 19 Meeting - 1939,Historical Minutes (369 KB PDF),/monetarypolicy/files/FOMChistmin19390419.pdf
84,1939,April 19 Meeting - 1939,"Intermeeting Executive Committee Minutes:April 13-14, 1939 (534 KB PDF)",/monetarypolicy/files/FOMChminec119390414.pdf
85,1939,April 19 Meeting - 1939,"Intermeeting Executive Committee Minutes:April 19, 1939 (128 KB PDF)",/monetarypolicy/files/FOMChminec119390419.pdf
86,1939,June 20-21 Meeting - 1939,Record of Policy Actions (282 KB PDF),/monetarypolicy/files/fomcropa19390621.pdf
87,1939,June 20-21 Meeting - 1939,Historical Minutes (554 KB PDF),/monetarypolicy/files/FOMChistmin19390621.pdf
88,1939,June 20-21 Meeting - 1939,"Intermeeting Executive Committee Minutes:June 20-21, 1939 (162 KB PDF)",/monetarypolicy/files/FOMChminec119390621.pdf
89,1939,September 18 Meeting - 1939,Record of Policy Actions (212 KB PDF),/monetarypolicy/files/fomcropa19390918.pdf
90,1939,September 18 Meeting - 1939,Historical Minutes (575 KB PDF),/monetarypolicy/files/FOMChistmin19390918.pdf
91,1939,December 13 Meeting - 1939,Record of Policy Actions (78 KB PDF),/monetarypolicy/files/fomcropa19391213.pdf
92,1939,December 13 Meeting - 1939,Historical Minutes (236 KB PDF),/monetarypolicy/files/FOMChistmin19391213.pdf
93,1939,December 13 Meeting - 1939,"Intermeeting Executive Committee Minutes:September 18-19, 1939 (148 KB PDF)",/monetarypolicy/files/FOMChminec119390919.pdf
94,1939,December 13 Meeting - 1939,"Intermeeting Executive Committee Minutes:November 6, 1939 (93 KB PDF)",/monetarypolicy/files/FOMChminec119391106.pdf
95,1939,December 13 Meeting - 1939,"Intermeeting Executive Committee Minutes:December 13, 1939 (145 KB PDF)",/monetarypolicy/files/FOMChminec119391213.pdf
96,1940,March 20 Meeting - 1940,Record of Policy Actions (101 KB PDF),/monetarypolicy/files/fomcropa19400320.pdf
97,1940,March 20 Meeting - 1940,Historical Minutes (408 KB PDF),/monetarypolicy/files/FOMChistmin19400320.pdf
98,1940,March 20 Meeting - 1940,"Intermeeting Executive Committee Minutes:March 20, 1940 (150 KB PDF)",/monetarypolicy/files/FOMChminec119400320.pdf
99,1940,May 27-28 Meeting - 1940,Record of Policy Actions (245 KB PDF),/monetarypolicy/files/fomcropa19400528.pdf
100,1940,May 27-28 Meeting - 1940,Historical Minutes (570 KB PDF),/monetarypolicy/files/FOMChistmin19400528.pdf
101,1940,May 27-28 Meeting - 1940,"Intermeeting Executive Committee Minutes:May 27, 1940 (60 KB PDF)",/monetarypolicy/files/FOMChminec119400527.pdf
102,1940,May 27-28 Meeting - 1940,"Intermeeting Executive Committee Minutes:May 28, 1940 (106 KB PDF)",/monetarypolicy/files/FOMChminec119400528.pdf
103,1940,September 27 Meeting - 1940,Record of Policy Actions (161 KB PDF),/monetarypolicy/files/fomcropa19400927.pdf
104,1940,September 27 Meeting - 1940,Historical Minutes (410 KB PDF),/monetarypolicy/files/FOMChistmin19400927.pdf
105,1940,September 27 Meeting - 1940,"Intermeeting Executive Committee Minutes:September 27, 1940 (164 KB PDF)",/monetarypolicy/files/FOMChminec119400927.pdf
106,1940,December 18 Meeting - 1940,Record of Policy Actions (186 KB PDF),/monetarypolicy/files/fomcropa19401218.pdf
107,1940,December 18 Meeting - 1940,Historical Minutes (485 KB PDF),/monetarypolicy/files/FOMChistmin19401218.pdf
108,1940,December 18 Meeting - 1940,"Intermeeting Executive Committee Minutes:November 1, 1940 (353 KB PDF)",/monetarypolicy/files/FOMChminec119401101.pdf
109,1940,December 18 Meeting - 1940,"Intermeeting Executive Committee Minutes:December 18, 1940 (190 KB PDF)",/monetarypolicy/files/FOMChminec119401218.pdf
110,1941,March 17 Meeting - 1941,Record of Policy Actions (116 KB PDF),/monetarypolicy/files/fomcropa19410317.pdf
111,1941,March 17 Meeting - 1941,Historical Minutes (496 KB PDF),/monetarypolicy/files/FOMChistmin19410317.pdf
112,1941,March 17 Meeting - 1941,"Intermeeting Executive Committee Minutes:March 17, 1941, 2:20 p.m. (52 KB PDF)",/monetarypolicy/files/FOMChminec119410317.pdf
113,1941,March 17 Meeting - 1941,"Intermeeting Executive Committee Minutes:March 17, 1941, 5:00 p.m. (104 KB PDF)",/monetarypolicy/files/FOMChminec219410317.pdf
114,1941,June 10 Meeting - 1941,Record of Policy Actions (235 KB PDF),/monetarypolicy/files/fomcropa19410610.pdf
115,1941,June 10 Meeting - 1941,Historical Minutes (600 KB PDF),/monetarypolicy/files/FOMChistmin19410610.pdf
116,1941,June 10 Meeting - 1941,"Intermeeting Executive Committee Minutes:June 10, 1941 (153 KB PDF)",/monetarypolicy/files/FOMChminec119410610.pdf
117,1941,September 27 Meeting - 1941,Record of Policy Actions (136 KB PDF),/monetarypolicy/files/fomcropa19410927.pdf
118,1941,September 27 Meeting - 1941,Historical Minutes (585 KB PDF),/monetarypolicy/files/FOMChistmin19410927.pdf
119,1941,September 27 Meeting - 1941,"Intermeeting Executive Committee Minutes:September 27, 1941 (161 KB PDF)",/monetarypolicy/files/FOMChminec119410927.pdf
120,1941,December 12 Meeting - 1941,Record of Policy Actions (135 KB PDF),/monetarypolicy/files/fomcropa19411212.pdf
121,1941,December 12 Meeting - 1941,Historical Minutes (409 KB PDF),/monetarypolicy/files/FOMChistmin19411212.pdf
122,1941,December 12 Meeting - 1941,"Intermeeting Executive Committee Minutes:November 24, 1941 (377 KB PDF)",/monetarypolicy/files/FOMChminec119411124.pdf
123,1941,December 12 Meeting - 1941,"Intermeeting Executive Committee Minutes:December 12, 1941 (178 KB PDF)",/monetarypolicy/files/FOMChminec119411212.pdf
124,1942,February 28 Meeting - 1942,Historical Minutes (163 KB PDF),/monetarypolicy/files/FOMChistmin19420228.pdf
125,1942,February 28 Meeting - 1942,Intermeeting Executive Committee Minutes:February 28. 1942 (86 KB PDF),/monetarypolicy/files/FOMChminec119420228.pdf
126,1942,March 2 Meeting - 1942,Record of Policy Actions (123 KB PDF),/monetarypolicy/files/fomcropa19420302.pdf
127,1942,March 2 Meeting - 1942,Historical Minutes (543 KB PDF),/monetarypolicy/files/FOMChistmin19420302.pdf
128,1942,March 2 Meeting - 1942,"Intermeeting Executive Committee Minutes:March 2, 1942 (95 KB PDF)",/monetarypolicy/files/FOMChminec119420302.pdf
129,1942,May 8 Meeting - 1942,Record of Policy Actions (253 KB PDF),/monetarypolicy/files/fomcropa19420508.pdf
130,1942,May 8 Meeting - 1942,Historical Minutes (292 KB PDF),/monetarypolicy/files/FOMChistmin19420508.pdf
131,1942,May 8 Meeting - 1942,"Intermeeting Executive Committee Minutes:May 8, 1942 (233 KB PDF)",/monetarypolicy/files/FOMChminec119420508.pdf
132,1942,June 22 Meeting - 1942,Record of Policy Actions (273 KB PDF),/monetarypolicy/files/fomcropa19420622.pdf
133,1942,June 22 Meeting - 1942,Historical Minutes (518 KB PDF),/monetarypolicy/files/FOMChistmin19420622.pdf
134,1942,June 22 Meeting - 1942,"Intermeeting Executive Committee Minutes:June 22, 1942 (233 KB PDF)",/monetarypolicy/files/FOMChminec119420508.pdf
135,1942,August 3 Meeting - 1942,Record of Policy Actions (143 KB PDF),/monetarypolicy/files/fomcropa19420803.pdf
136,1942,August 3 Meeting - 1942,Historical Minutes (868 KB PDF),/monetarypolicy/files/FOMChistmin19420803.pdf
137,1942,August 3 Meeting - 1942,"Intermeeting Executive Committee Minutes:July 22, 1942 (248 KB PDF)",/monetarypolicy/files/FOMChminec119420722.pdf
138,1942,August 3 Meeting - 1942,"Intermeeting Executive Committee Minutes:August 3, 1942 (140 KB PDF)",/monetarypolicy/files/FOMChminec119420803.pdf
139,1942,September 28-29 Meeting - 1942,Record of Policy Actions (154 KB PDF),/monetarypolicy/files/fomcropa19420928.pdf
140,1942,September 28-29 Meeting - 1942,Historical Minutes (756 KB PDF),/monetarypolicy/files/FOMChistmin19420929.pdf
141,1942,September 28-29 Meeting - 1942,"Intermeeting Executive Committee Minutes:August 18, 1942 (286 KB PDF)",/monetarypolicy/files/FOMChminec119420818.pdf
142,1942,September 28-29 Meeting - 1942,"Intermeeting Executive Committee Minutes:September 28, 1942 (196 KB PDF)",/monetarypolicy/files/FOMChminec119420928.pdf
143,1942,December 14 Meeting - 1942,Record of Policy Actions (105 KB PDF),/monetarypolicy/files/fomcropa19421214.pdf
144,1942,December 14 Meeting - 1942,Historical Minutes (733 KB PDF),/monetarypolicy/files/FOMChistmin19421214.pdf
145,1942,December 14 Meeting - 1942,"Intermeeting Executive Committee Minutes:December 14, 1942 (206 KB PDF)",/monetarypolicy/files/FOMChminec119421214.pdf
146,1943,January 25-26 Meeting - 1943,Record of Policy Actions (145 KB PDF),/monetarypolicy/files/fomcropa19430126.pdf
