DATE,NROU
2023-10-01,4.488
2024-01-01,4.484
2024-04-01,4.48
2024-07-01,4.476
2024-10-01,4.472
2025-01-01,4.468
2025-04-01,4.464
2025-07-01,4.46
2025-10-01,4.456
2026-01-01,4.452
2026-04-01,4.447
2026-07-01,4.443
2026-10-01,4.439
2027-01-01,4.434
2027-04-01,4.429
2027-07-01,4.425
2027-10-01,4.42
2028-01-01,4.415
2028-04-01,4.411
2028-07-01,4.406
2028-10-01,4.401
2029-01-01,4.396
2029-04-01,4.391
2029-07-01,4.386
2029-10-01,4.381
