DATE,INDPRO_PC1
1971-10-01,5.23230
1971-11-01,6.32294
1971-12-01,5.13583
1972-01-01,6.84312
1972-02-01,8.08152
1972-03-01,8.94627
1972-04-01,9.48325
1972-05-01,8.87401
1972-06-01,8.72698
1972-07-01,8.99578
1972-08-01,11.08936
1972-09-01,10.14769
1972-10-01,10.79062
1972-11-01,11.62714
1972-12-01,11.61723
1973-01-01,9.70412
1973-02-01,10.26495
1973-03-01,9.55959
1973-04-01,8.26389
1973-05-01,9.01706
1973-06-01,8.78316
1973-07-01,9.28067
1973-08-01,7.66762
1973-09-01,7.80908
1973-10-01,7.10364
1973-11-01,6.41150
1973-12-01,4.95539
1974-01-01,3.54394
1974-02-01,1.71476
1974-03-01,1.69895
1974-04-01,1.48769
1974-05-01,1.63374
1974-06-01,1.45381
1974-07-01,1.08587
1974-08-01,0.27154
1974-09-01,-0.57011
1974-10-01,-1.60377
1974-11-01,-5.33029
1974-12-01,-8.46363
1975-01-01,-9.08007
1975-02-01,-10.89452
1975-03-01,-11.87765
1975-04-01,-11.50237
1975-05-01,-12.39571
1975-06-01,-11.72317
1975-07-01,-10.91244
1975-08-01,-9.10591
1975-09-01,-8.02776
1975-10-01,-7.27534
1975-11-01,-3.92562
1975-12-01,0.84031
1976-01-01,3.72389
1976-02-01,7.23064
1976-03-01,8.48994
1976-04-01,9.01493
1976-05-01,9.77510
1976-06-01,9.07866
1976-07-01,8.67959
1976-08-01,8.32140
1976-09-01,7.30138
1976-10-01,6.87012
1976-11-01,8.21246
1976-12-01,8.00072
1977-01-01,5.87581
1977-02-01,6.42274
1977-03-01,7.64551
1977-04-01,8.04972
1977-05-01,8.44510
1977-06-01,9.20656
1977-07-01,8.70890
1977-08-01,7.97882
1977-09-01,8.19291
1977-10-01,8.35898
1977-11-01,6.89711
1977-12-01,5.96682
1978-01-01,5.08034
1978-02-01,4.01437
1978-03-01,4.69926
1978-04-01,5.87233
1978-05-01,5.38589
1978-06-01,5.35134
1978-07-01,5.15502
1978-08-01,5.52018
1978-09-01,5.27969
1978-10-01,5.92092
1978-11-01,6.61090
1978-12-01,7.00212
1979-01-01,7.80119
1979-02-01,7.84648
1979-03-01,6.16060
1979-04-01,2.83260
1979-05-01,3.27557
1979-06-01,2.56313
1979-07-01,2.47136
1979-08-01,1.41043
1979-09-01,1.26726
1979-10-01,1.01242
1979-11-01,0.16402
1979-12-01,-0.24031
1980-01-01,0.86417
1980-02-01,0.32814
1980-03-01,-0.31385
1980-04-01,-1.24816
1980-05-01,-4.41665
1980-06-01,-5.59104
1980-07-01,-6.19252
1980-08-01,-5.22652
1980-09-01,-3.79613
1980-10-01,-3.11369
1980-11-01,-1.35378
1980-12-01,-0.92339
1981-01-01,-1.93800
1981-02-01,-2.39098
1981-03-01,-1.55055
1981-04-01,0.06796
1981-05-01,3.17186
1981-06-01,4.95403
1981-07-01,6.46476
1981-08-01,6.06935
1981-09-01,3.75511
1981-10-01,1.77118
1981-11-01,-1.10097
1981-12-01,-2.73099
1982-01-01,-4.12165
1982-02-01,-1.77000
1982-03-01,-3.03243
1982-04-01,-3.45596
1982-05-01,-4.64490
1982-06-01,-5.41224
1982-07-01,-6.32119
1982-08-01,-7.12949
1982-09-01,-6.85961
1982-10-01,-7.06259
1982-11-01,-6.36297
1982-12-01,-6.01043
1983-01-01,-2.24255
1983-02-01,-4.74215
1983-03-01,-3.23117
1983-04-01,-1.17949
1983-05-01,0.14041
1983-06-01,1.08007
1983-07-01,2.92991
1983-08-01,4.99845
1983-09-01,6.91565
1983-10-01,8.77378
1983-11-01,9.59294
1983-12-01,10.96940
1984-01-01,11.03095
1984-02-01,12.20861
1984-03-01,11.85376
1984-04-01,11.19747
1984-05-01,10.96569
1984-06-01,10.69039
1984-07-01,9.38286
1984-08-01,8.27884
1984-09-01,6.47517
1984-10-01,5.42324
1984-11-01,5.47064
1984-12-01,5.03472
1985-01-01,2.81864
1985-02-01,2.73056
1985-03-01,2.39179
1985-04-01,1.47499
1985-05-01,1.13921
1985-06-01,0.86141
1985-07-01,-0.10841
1985-08-01,0.21002
1985-09-01,0.82105
1985-10-01,0.57001
