DATE,PCE_PCH
1/1/72,0.42559
2/1/72,0.64252
3/1/72,1.76582
4/1/72,0.44047
5/1/72,0.7309
6/1/72,0.47493
7/1/72,1.08981
8/1/72,0.83128
9/1/72,0.61832
10/1/72,1.76674
11/1/72,0.70449
12/1/72,0.69956
1/1/73,1.29016
2/1/73,1.13901
3/1/73,0.84766
4/1/73,0.34822
5/1/73,0.70599
6/1/73,0.32082
7/1/73,1.16072
8/1/73,-0.09367
9/1/73,1.86335
10/1/73,-0.11505
11/1/73,1.00207
12/1/73,-0.03421
1/1/74,0.90121
2/1/74,0.5879
3/1/74,1.31505
4/1/74,1.04282
5/1/74,1.27361
6/1/74,0.60711
7/1/74,1.06681
8/1/74,1.8019
9/1/74,0.03142
10/1/74,0.42927
11/1/74,-0.31276
12/1/74,0.58565
1/1/75,1.43481
2/1/75,1.41451
3/1/75,0.12129
4/1/75,0.44418
5/1/75,2.40201
6/1/75,0.77535
7/1/75,1.26607
8/1/75,0.69244
9/1/75,0.74499
10/1/75,0.57831
11/1/75,1.40447
12/1/75,1.51515
1/1/76,1.3735
2/1/76,0.0542
3/1/76,0.65
4/1/76,0.94179
5/1/76,-0.23991
6/1/76,1.58546
7/1/76,0.7979
8/1/76,0.73069
9/1/76,0.93264
10/1/76,0.68446
11/1/76,1.03671
12/1/76,1.89235
1/1/77,0.2889
2/1/77,1.34156
3/1/77,0.5685
4/1/77,0.7268
5/1/77,0.7857
6/1/77,0.51706
7/1/77,1.33745
8/1/77,0.40609
9/1/77,0.68445
10/1/77,1.30552
11/1/77,1.18957
12/1/77,0.67822
1/1/78,-0.48653
2/1/78,1.92554
3/1/78,1.65301
4/1/78,1.37205
5/1/78,1.11716
6/1/78,0.97734
7/1/78,0.07014
8/1/78,1.41576
9/1/78,0.40774
10/1/78,0.96359
11/1/78,0.93394
12/1/78,1.07389
1/1/79,0.39425
2/1/79,1.02503
3/1/79,0.88286
4/1/79,0.47022
5/1/79,1.32605
6/1/79,1.08417
7/1/79,0.66002
8/1/79,1.85991
9/1/79,1.13271
10/1/79,0.47127
11/1/79,0.95638
12/1/79,0.54305
1/1/80,1.86041
2/1/80,0.24156
3/1/80,0.39967
4/1/80,-0.76104
5/1/80,0.28905
6/1/80,1.09994
7/1/80,1.6465
8/1/80,0.95587
9/1/80,0.94682
10/1/80,2.0556
11/1/80,0.53382
12/1/80,1.36304
