DATE,PCEPI_PCH
3/1/71,0.33003
4/1/71,0.39381
5/1/71,0.41534
6/1/71,0.4412
7/1/71,0.30199
8/1/71,0.29196
9/1/71,0.1501
10/1/71,0.15442
11/1/71,0.20406
12/1/71,0.39372
1/1/72,0.41021
2/1/72,0.39506
3/1/72,0.14309
4/1/72,0.15182
5/1/72,0.21847
6/1/72,0.15571
7/1/72,0.35535
8/1/72,0.29213
9/1/72,0.44574
10/1/72,0.11424
11/1/72,0.29843
12/1/72,0.31942
1/1/73,0.30096
2/1/73,0.52618
3/1/73,0.70511
4/1/73,0.74742
5/1/73,0.49032
6/1/73,0.57279
7/1/73,0.36281
8/1/73,1.15174
9/1/73,0.39894
10/1/73,0.56291
11/1/73,0.81906
12/1/73,0.82466
1/1/74,0.95963
2/1/74,1.16307
3/1/74,1.16159
4/1/74,0.70541
5/1/74,0.98455
6/1/74,0.84778
7/1/74,0.73749
8/1/74,1.04692
9/1/74,1.03983
10/1/74,0.71333
11/1/74,0.75255
12/1/74,0.79086
1/1/75,0.61755
2/1/75,0.54517
3/1/75,0.33753
4/1/75,0.34356
5/1/75,0.39588
6/1/75,0.62522
7/1/75,0.85787
8/1/75,0.43404
9/1/75,0.49489
10/1/75,0.58263
11/1/75,0.64131
12/1/75,0.55158
1/1/76,0.3816
2/1/76,0.12898
3/1/76,0.14915
4/1/76,0.22678
5/1/76,0.47617
6/1/76,0.43695
7/1/76,0.50532
8/1/76,0.55273
9/1/76,0.56293
10/1/76,0.52356
11/1/76,0.45532
12/1/76,0.56086
1/1/77,0.57719
2/1/77,0.78344
3/1/77,0.50224
4/1/77,0.58249
5/1/77,0.50633
6/1/77,0.5573
7/1/77,0.51977
8/1/77,0.46725
9/1/77,0.37516
10/1/77,0.46333
11/1/77,0.57803
12/1/77,0.483
1/1/78,0.5902
2/1/78,0.46576
3/1/78,0.64724
4/1/78,0.75674
5/1/78,0.71543
6/1/78,0.65435
7/1/78,0.5476
8/1/78,0.50384
9/1/78,0.57087
10/1/78,0.79237
11/1/78,0.56888
12/1/78,0.46902
1/1/79,0.75258
2/1/79,0.53635
3/1/79,0.77929
4/1/79,1.0421
5/1/79,1.03684
6/1/79,0.82259
7/1/79,0.76472
8/1/79,0.76426
9/1/79,0.8831
10/1/79,0.81491
11/1/79,0.69359
12/1/79,0.8416
1/1/80,1.04514
